10	0.000945 5898.000000	1101.000000	0.001467 6190.000000	1091.000000
11	0.000989 6432.000000	1127.000000	0.001576 6744.000000	1104.000000
12	0.001053 7019.000000	1149.000000	0.001555 7353.000000	1113.000000
13	0.001147 7807.000000	1167.000000	0.001662 8162.000000	1128.000000
14	0.001225 8690.000000	1195.000000	0.001814 9048.000000	1141.000000
15	0.001498 9777.000000	1215.000000	0.001869 10170.000000	1165.000000
