5120	00.4089120.4049810.407631	00.6403610.6427690.640703
5184	00.2194870.2217570.223255	00.6403610.6427690.640703
5248	00.3376600.3384230.354775	00.6403610.6427690.640703
5312	00.2450790.2303280.235436	00.6403610.6427690.640703
5376	00.4649150.4356760.465992	00.6403610.6427690.640703
5440	00.2598270.2623460.252378	00.6403610.6427690.640703
5504	00.3832200.3845280.379106	00.6403610.6427690.640703
5568	00.2685810.2798930.266110	00.6403610.6427690.640703
5632	00.5305300.4941530.497952	00.6403610.6427690.640703
5696	00.2843840.2891500.276255	00.6403610.6427690.640703
5760	00.4308560.4279820.445262	00.6403610.6427690.640703
5824	00.3044740.2997560.302543	00.6403610.6427690.640703
5888	00.5649210.5315240.535507	00.6403610.6427690.640703
5952	00.3214190.3170710.338763	00.6403610.6427690.640703
6016	00.4901910.5038580.486306	00.6403610.6427690.640703
6080	00.3451360.3423380.344300	00.6403610.6427690.640703
6144	00.6403610.6427690.640703	00.6403610.6427690.640703
