10	4574.000000	1002.000000	4574.000000	1002.000000
20	4603.000000	1057.000000	4603.000000	1057.000000
30	4673.000000	1184.000000	4673.000000	1184.000000
40	4926.000000	1318.000000	4894.000000	1318.000000
50	5991.000000	1520.000000	5162.000000	1520.000000
60	7515.000000	1720.000000	5388.000000	1720.000000
70	6244.000000	1994.000000	5691.000000	1994.000000
80	8964.000000	2328.000000	6064.000000	2328.000000
90	7644.000000	2670.000000	6435.000000	2670.000000
100	13369.200000	3002.000000	6823.600000	3002.000000
