10	9332.000000	1916.000000	9332.000000	1916.000000
11	9427.000000	1931.000000	9427.000000	1931.000000
12	9532.000000	1945.000000	9532.000000	1945.000000
13	9669.000000	1968.000000	9669.000000	1968.000000
14	9800.000000	1988.000000	9800.000000	1988.000000
15	9947.000000	2007.000000	9947.000000	2007.000000
16	10159.000000	2045.000000	10130.000000	2045.000000
17	10384.000000	2060.000000	10306.000000	2060.000000
18	10580.000000	2078.000000	10496.000000	2078.000000
19	10668.000000	2099.000000	10621.000000	2099.000000
20	10924.000000	2117.000000	10753.000000	2117.000000
21	11082.000000	2141.000000	10896.000000	2141.000000
22	11094.000000	2168.000000	11046.000000	2168.000000
23	11529.000000	2210.000000	11226.000000	2210.000000
24	11433.000000	2219.000000	11383.000000	2219.000000
25	11679.000000	2241.000000	11529.000000	2241.000000
26	12102.000000	2267.000000	11690.000000	2267.000000
27	12318.000000	2298.000000	11861.000000	2298.000000
28	12521.000000	2344.000000	12059.000000	2344.000000
29	12718.000000	2363.000000	12216.000000	2363.000000
30	12959.000000	2390.000000	12389.000000	2390.000000
31	12784.000000	2419.000000	12575.000000	2419.000000
32	13678.000000	2475.000000	12806.000000	2475.000000
33	13302.000000	2502.000000	12993.000000	2502.000000
34	14011.000000	2529.000000	13183.000000	2529.000000
35	14226.000000	2562.000000	13388.000000	2562.000000
36	14539.000000	2619.000000	13638.000000	2619.000000
37	14953.000000	2650.000000	13842.000000	2650.000000
38	14907.000000	2684.000000	14062.000000	2684.000000
39	15095.000000	2738.000000	14313.000000	2738.000000
40	15364.000000	2768.000000	14542.000000	2768.000000
41	16075.000000	2809.000000	14771.000000	2809.000000
42	16271.000000	2848.000000	14994.000000	2848.000000
43	16827.000000	2885.000000	15252.000000	2885.000000
44	16751.000000	2929.000000	15497.000000	2929.000000
45	17207.000000	2985.000000	15772.000000	2985.000000
46	17307.000000	3025.000000	16032.000000	3025.000000
47	17943.000000	3060.000000	16298.000000	3060.000000
48	18636.000000	3114.000000	16606.000000	3114.000000
49	18539.000000	3151.000000	16861.000000	3151.000000
50	18735.000000	3199.000000	17145.000000	3199.000000
51	19650.000000	3258.000000	17458.000000	3258.000000
52	20093.000000	3305.000000	17742.000000	3305.000000
53	20517.000000	3359.000000	18039.000000	3359.000000
54	20838.000000	3402.000000	18337.000000	3402.000000
55	21240.000000	3455.000000	18628.000000	3455.000000
56	21624.000000	3504.000000	18943.000000	3504.000000
57	22089.000000	3548.000000	19248.000000	3548.000000
58	22304.000000	3608.000000	19595.000000	3608.000000
59	22902.000000	3659.000000	19902.000000	3659.000000
60	23370.000000	3726.000000	20258.000000	3726.000000
61	23993.000000	3773.000000	20576.000000	3773.000000
62	24507.000000	3848.000000	20948.000000	3848.000000
63	24663.000000	3899.000000	21277.000000	3899.000000
64	25084.000000	3967.000000	21651.000000	3967.000000
65	25944.000000	4033.000000	21979.000000	4033.000000
66	26476.000000	4093.000000	22387.000000	4093.000000
67	26885.000000	4144.000000	22720.000000	4144.000000
68	27329.000000	4216.000000	23116.000000	4216.000000
69	27753.000000	4262.000000	23448.000000	4262.000000
70	28216.000000	4337.000000	23854.000000	4337.000000
71	28644.000000	4394.000000	24246.000000	4394.000000
72	29528.000000	4461.000000	24643.000000	4461.000000
73	29650.000000	4544.000000	25050.000000	4544.000000
74	30387.000000	4605.000000	25456.000000	4605.000000
75	31207.000000	4663.000000	25992.000000	4663.000000
76	32040.000000	4727.000000	26556.000000	4727.000000
77	32451.000000	4800.000000	27133.000000	4800.000000
78	33425.000000	4877.000000	27720.000000	4877.000000
79	34155.000000	4934.000000	28298.000000	4934.000000
80	34569.000000	5011.000000	28911.000000	5011.000000
81	35697.000000	5075.000000	29493.000000	5075.000000
82	36401.000000	5135.000000	30085.000000	5135.000000
83	37115.000000	5217.000000	30556.500000	5217.000000
84	37477.000000	5292.000000	31031.000000	5292.000000
85	37759.000000	5367.000000	31510.000000	5367.000000
86	38675.000000	5448.000000	31983.000000	5448.000000
87	39520.000000	5525.000000	32470.000000	5525.000000
88	40234.000000	5609.000000	32940.000000	5609.000000
89	40542.000000	5693.000000	33432.000000	5693.000000
90	41566.000000	5776.000000	33945.000000	5776.000000
91	42306.000000	5864.000000	34462.000000	5864.000000
92	42980.000000	5944.000000	34965.000000	5944.000000
93	43156.000000	6032.000000	35464.000000	6032.000000
94	44325.000000	6095.000000	35986.000000	6095.000000
95	45045.000000	6187.000000	36522.000000	6187.000000
96	44909.000000	6277.000000	37062.000000	6277.000000
97	46359.000000	6365.000000	37553.000000	6365.000000
98	47106.000000	6435.000000	38088.000000	6435.000000
99	47939.000000	6527.000000	38638.000000	6527.000000
100	48649.000000	6630.000000	39201.000000	6630.000000
