384	7.754938 88182720.716480	249454.032384	7.380795 85031424.662400	253274.768000
388	7.715360 95436841.480960	254620.123968	7.379682 92462928.015232	260930.227200
392	8.003992 98426827.611200	259824.538560	7.599047 95222040.564032	266268.246400
396	8.241807 101313558.938880	265078.234944	7.874791 98179424.488896	271748.062400
400	8.458636 102990100.318400	270403.569600	8.078497 101367503.934144	277226.899200
404	8.668223 107543169.347200	275787.484800	8.345075 104481322.885504	282747.004800
408	8.989186 110973870.204800	281242.248000	8.569153 107470495.598400	288571.003200
412	9.255746 113803928.316928	286718.584064	8.851259 110386231.400000	293691.174400
416	9.648495 113305443.891456	294803.766528	9.110451 109440468.214400	299264.548800
420	9.888990 122650210.446336	301211.650368	9.427160 116975079.741056	309104.771456
424	10.147550 128893977.516544	306861.329472	9.581571 120347701.266112	314703.205312
428	10.420727 132753239.430400	312542.809600	9.974254 123598006.106560	320132.722560
432	10.777733 135253204.856000	318350.932800	10.189223 128195780.805120	326314.672320
436	11.123626 140606306.619200	324188.280000	10.523992 130569779.752000	332495.654400
440	11.427052 144284864.366400	330079.848000	10.774982 134155382.548800	338600.553600
444	11.762642 148354202.828800	336026.144000	11.122098 138037333.684800	344740.745600
448	12.260295 147531433.892800	342015.304000	11.633416 136027193.358400	347263.350400
