384	7.658124 71285259.828659	220021.161295	7.378905 71390441.986496	221648.990720
388	7.666015 82670418.659238	224610.804959	7.318749 82924186.120609	227760.209088
392	7.913921 85425993.104448	229244.981542	7.579857 85514985.622561	232963.729856
396	8.135765 87857589.957555	233917.129398	7.784679 87976158.979556	237198.922496
400	8.346651 86330157.852736	238645.142784	8.020222 87130544.477366	241738.075968
404	8.631464 93501420.133888	243435.499392	8.237343 93560889.515420	246615.880192
408	8.953838 96257345.808192	248288.689920	8.412523 96036368.543936	251924.840128
412	9.163707 99162810.132677	253138.743363	8.816789 98868488.936000	256174.646976
416	9.446815 93317787.755658	260663.150661	9.071454 92879054.728576	262577.581952
420	9.742347 106914133.417853	266486.466015	9.256519 104317954.189642	270166.190858
424	10.034256 113070452.100662	271528.493179	9.496980 107716049.050644	274965.128212
428	10.306596 116420383.577216	276594.952384	9.909522 110595432.244262	280291.308902
432	10.586252 114720028.194240	281742.837312	10.059274 109543380.392205	285540.746893
436	10.903925 123305982.264768	286939.531200	10.463585 116610320.470080	290894.106176
440	11.266910 126552555.574656	292188.193920	10.750533 119668500.301952	298006.022144
444	11.529193 130199785.113152	297488.045760	10.946954 123167446.347392	301537.629824
448	12.073765 121596522.355712	302777.612160	11.457634 114088094.734336	305044.534016
