384	7.830632 140427597.800000	339070.240000	7.385247 118120514.000000	365680.000000
388	7.892223 149072150.600000	345927.480000	7.421405 126672484.520000	380292.000000
392	8.175829 153527502.000000	353007.600000	7.568021 130377102.520000	388054.000000
396	8.422415 158014796.800000	360064.840000	7.849761 134409617.560000	395789.000000
400	8.673810 161874864.000000	367058.000000	8.016871 144301869.840000	402962.000000
404	8.904195 167146092.000000	374228.000000	8.374822 144567041.440000	411278.000000
408	9.228315 171978653.000000	381480.000000	8.541351 146536424.000000	419452.000000
412	9.486962 176590298.080000	388815.040000	8.840217 150772625.000000	427584.000000
416	9.691608 175811907.160000	398379.080000	9.098440 148649934.000000	429643.000000
420	10.002373 188191103.960000	406455.480000	9.381788 159325538.160000	446732.160000
424	10.312213 195817122.840000	413769.920000	9.576098 164039091.320000	454928.320000
428	10.593228 201210544.000000	421482.000000	9.986614 168307485.600000	463195.600000
432	11.043856 205975560.000000	429233.000000	10.137176 180370354.200000	471146.200000
436	11.222806 212216312.000000	437050.000000	10.523138 180271048.000000	480412.000000
440	11.543163 217980429.000000	444755.000000	10.856154 184624068.000000	489046.000000
444	11.960394 223257643.000000	451790.000000	11.096389 189572928.000000	496291.000000
448	12.455527 222151833.000000	459690.000000	11.582264 186077449.000000	495819.000000
