384	7.883750 112423942.912000	290125.809600	7.547900 99130266.560000	312669.200000
388	7.872279 118663462.024000	296053.099200	7.509789 105308400.380800	323480.680000
392	8.135226 122262232.280000	302087.464000	7.731905 108477239.100800	330081.160000
396	8.406337 125935534.472000	308147.873600	7.942261 111854804.222400	336826.560000
400	8.681227 129200965.960000	314265.240000	8.163503 119096457.353600	343322.480000
404	8.889236 133312708.680000	320487.120000	8.488119 121288375.137600	350150.120000
408	9.257428 137358055.120000	326756.200000	8.746692 124654297.960000	357175.080000
412	9.507525 141010432.923200	333114.601600	8.979571 128350210.000000	363929.360000
416	9.731346 141517597.286400	341894.163200	9.296560 128220805.360000	368288.720000
420	10.053548 151132386.158400	349091.259200	9.531635 135784793.526400	381519.286400
424	10.423593 158078537.913600	355531.236800	9.759546 139868581.652800	388530.132800
428	10.652500 162376685.760000	362061.240000	10.127795 143251075.664000	395241.064000
432	11.074369 166686246.400000	368799.320000	10.395439 151489112.128000	402608.808000
436	11.262965 171726165.480000	375482.000000	10.689334 151506511.800000	410259.360000
440	11.627382 176350884.160000	382171.200000	10.933866 155414740.720000	417740.840000
444	11.923451 180846095.720000	388978.600000	11.284471 159359042.120000	424868.640000
448	12.587500 181128047.320000	395857.600000	11.862921 158042833.960000	426508.760000
