384	7.185088 67757951.000000	210043.000000	6.903604 67989185.000000	211518.000000
388	7.231178 78852945.000000	214426.000000	6.877497 79225669.000000	217323.000000
392	7.519233 81488920.000000	218852.000000	7.191729 81706104.000000	222313.000000
396	7.702768 83805046.640000	223314.000000	7.453453 84048982.000000	226329.000000
400	7.936627 82210553.200000	227829.000000	7.579038 83075844.640000	230649.000000
404	8.186915 89199692.400000	232404.000000	7.888318 89381636.600000	235306.000000
408	8.498978 91818391.000000	237039.000000	8.037994 91737547.120000	240382.000000
412	8.740851 94610653.000000	241670.000000	8.274470 94453039.360000	244427.000000
416	8.897439 88785570.000000	248871.000000	8.556627 88501436.000000	250607.000000
420	9.196898 102008125.000000	254438.000000	8.764668 99638951.000000	257802.000000
424	9.648740 107914693.000000	259254.080000	9.103675 102902141.000000	262377.000000
428	9.893243 111110254.000000	264093.360000	9.380345 105651512.080000	267486.080000
432	10.013785 109309900.000000	269008.560000	9.533141 104415549.080000	272488.080000
436	10.400926 117681730.000000	273972.000000	9.845382 111387528.400000	277593.400000
440	10.738372 120781161.000000	278985.000000	10.130290 114302284.520000	284461.520000
444	11.060004 124265617.000000	284047.000000	10.427907 117645952.920000	287747.920000
448	11.534612 115695265.000000	289097.000000	10.829068 108647007.000000	291154.000000
