1725	27828727.000000	1748892.000000	25211067.000000	1748892.000000
1741	28360410.000000	1792210.000000	25694888.000000	1792210.000000
1757	28899338.000000	1823642.000000	26184197.000000	1823642.000000
1773	29414037.000000	1855638.000000	26648968.000000	1855638.000000
1789	29953317.000000	1887120.000000	27138306.000000	1887120.000000
1805	30471882.000000	1919617.000000	27605934.000000	1919617.000000
1821	31005347.000000	1952357.000000	28088469.000000	1952357.000000
1837	31560774.000000	1984943.000000	28592161.000000	1984943.000000
1853	32111069.000000	2018065.000000	29090709.000000	2018065.000000
1869	32682024.000000	2064587.000000	29610267.000000	2064587.000000
1885	33260382.000000	2098313.000000	30135376.000000	2098313.000000
1901	33812405.000000	2132627.000000	30633852.000000	2132627.000000
1917	34390460.000000	2166382.000000	31158377.000000	2166382.000000
1933	34946015.000000	2201217.000000	31659368.000000	2201217.000000
1949	35517169.000000	2236267.000000	32175998.000000	2236267.000000
1965	36111454.000000	2271139.000000	32714929.000000	2271139.000000
1981	36699883.000000	2306540.000000	33248023.000000	2306540.000000
