1725	4055017.000000	629791.000000	1124101.000000	629791.000000
1741	4136362.000000	641048.000000	1150767.000000	641048.000000
1757	4226064.000000	652654.000000	1185333.000000	652654.000000
1773	4298705.000000	664236.000000	1202338.000000	664236.000000
1789	4372436.000000	676178.000000	1219931.000000	676178.000000
1805	4446260.000000	687935.000000	1237078.000000	687935.000000
1821	4521157.000000	700018.000000	1254843.000000	700018.000000
1837	4596191.000000	711977.000000	1272213.000000	711977.000000
1853	4672339.000000	724266.000000	1290181.000000	724266.000000
1869	4748708.000000	736479.000000	1307869.000000	736479.000000
1885	4826153.000000	749010.000000	1326191.000000	749010.000000
1901	4914958.000000	761349.000000	1355276.000000	761349.000000
1917	5012743.000000	774041.000000	1392914.000000	774041.000000
1933	5091814.000000	786628.000000	1411245.000000	786628.000000
1949	5171960.000000	799596.000000	1430257.000000	799596.000000
1965	5252283.000000	812398.000000	1448824.000000	812398.000000
1981	5333583.000000	825486.000000	1467971.000000	825486.000000
